iter	Passed	Remaining
391	665	1031
392	666	1028
393	667	1026
394	668	1023
395	668	1020
396	673	1023
397	675	1022
398	677	1021
399	678	1018
400	679	1015
401	680	1012
402	681	1009
403	682	1007
404	684	1005
405	685	1002
406	694	1011
407	695	1009
408	697	1007
409	698	1004
410	700	1003
411	706	1008
412	708	1007
413	710	1005
414	711	1002
415	716	1006
416	720	1006
417	722	1006
418	724	1004
419	725	1001
420	726	999
421	728	997
422	729	995
423	730	992
424	746	1009
425	749	1009
426	755	1014
427	757	1012
428	759	1010
429	760	1008
430	767	1012
431	770	1012
432	771	1010
433	772	1007
434	773	1005
435	775	1002
436	776	1000
437	777	997
438	782	999
439	789	1004
440	792	1004
441	804	1016
442	807	1015
443	809	1013
444	815	1016
445	816	1014
446	818	1012
447	819	1010
448	822	1009
449	823	1007
450	829	1010
451	831	1007
452	832	1005
453	835	1004
454	838	1003
455	839	1001
